ID,NB_SPC,HYP_v0,LOP_v0,HOD_v0,AL_v0,OL_v0,SF_v0,OT_v0,CM_v0,OO_v0,ETH_v0,LOPT_v0,HYP_v1,AL_v1,AL2_v1,OL_v1,SF_v1,OT_v1,OO_v1,BU_v1
enabled_col,F,F,F,F,F,F,F,F,F,F,F,F,T,T,T,T,T,T,T,T
127581,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127582,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127583,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127584,5,1.200,1.600,1.000,0.800,0.800,0.000,0.000,0.000,0.000,0.200,0.000,1.400,0.800,0.800,0.000,0.000,0.000,0.000,0.200
127585,4,1.250,1.500,1.000,0.750,0.750,0.000,0.000,0.000,0.000,0.250,0.000,1.500,0.750,0.750,0.000,0.000,0.000,0.000,0.250
127586,3,1.333,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.667,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127588,3,1.667,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
127589,3,1.667,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
127590,3,1.667,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
127591,3,1.667,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
127592,3,1.667,2.000,1.000,0.667,1.000,0.000,0.000,0.000,0.333,0.000,0.000,2.000,0.667,1.000,0.333,0.000,0.000,0.333,0.000
127593,4,1.500,2.000,1.000,0.750,1.000,0.000,0.000,0.000,0.250,0.000,0.000,1.750,0.750,1.000,0.250,0.000,0.000,0.250,0.000
127594,5,1.600,2.000,1.000,0.800,1.000,0.000,0.000,0.000,0.200,0.000,0.000,1.800,0.800,1.000,0.200,0.000,0.000,0.200,0.000
127595,4,1.250,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.500,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127596,4,1.250,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.500,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127597,4,1.250,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.500,1.000,1.000,0.000,0.000,0.000,0.000,0.000
127598,4,1.250,2.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.500,1.000,1.000,0.000,0.000,0.000,0.000,0.000
