ORDER	FAMILY	GENUS	SPECIES	HYP	BU	AL	OL	SF	OT	OO	CM	HOD	LOP	LOPT	ETH	Source	
Artiodactyla	Hoplitomerycidae	Amphimoschus	artenensis	1	0	1	0	0	0	0	0	1	2	0	0		
Artiodactyla	Hoplitomerycidae	Amphimoschus	indet.	1	0	1	0	0	0	0	0	1	2	0	0		
Artiodactyla	indet.	indet.	indet.	?	?	?	?	?	?	?	?	?	?	?	?	Dorcabune	
Artiodactyla	Moschidae	Hispanomeryx	indet.	1	0	1	0	0	0	0	0	1	2	0	0	photo	
Artiodactyla	Moschidae	Micromeryx	indet.	1	0	1	0	0	0	0	0	1	2	0	0	photo	
Artiodactyla	Moschidae	Moschus	grandaevus	1	0	1	0	0	0	0	0	1	2	0	0	by modern pictures	
Artiodactyla	Moschidae	Moschus	indet.	1	0	1	0	0	0	0	0	1	2	0	0	by modern pictures	
Artiodactyla	Palaeochoeridae	Pecarichoerus	sminthos	1	1	0	0	0	0	0	0	1	0	0	0	\N	
Artiodactyla	Palaeochoeridae	Schizoporcus	indet.	1	1	0	0	0	0	0	0	1	0	0	0	by genus Munich	
Artiodactyla	Palaeochoeridae	Yunnanochoerus	gandakasensis	1	1	0	0	0	0	0	0	1	0	0	0	?	
Artiodactyla	Palaeochoeridae	Yunnanochoerus	lufengensis	1	1	0	0	0	0	0	0	1	0	0	0	picture publ by genus	
Artiodactyla	Palaeomerycidae	Palaeomeryx	indet.	1	0	1	0	0	0	0	0	1	1	0	0	\N	
Artiodactyla	Palaeomerycidae	Palaeomeryx	tricornis	1	0	1	0	0	0	0	0	1	1	0	0		
Artiodactyla	Ruminantia	indet.	indet.	?	?	?	?	?	?	?	?	?	?	?	?	various in the group	
Artiodactyla	Suidae	Bunolistriodon	affinis	1	1	0	0	0	0	0	0	1	0	0	0		
Artiodactyla	Suidae	Bunolistriodon	guptai	1	1	0	0	0	0	0	0	1	0	0	0		
Artiodactyla	Suidae	Bunolistriodon	indet.	1	1	0	0	0	0	0	0	1	0	0	0		
Artiodactyla	Suidae	Bunolistriodon	intermedius	1	1	0	0	0	0	0	0	1	0	0	0	\N	
Artiodactyla	Suidae	Chleuastochoerus	indet.	1	1	0	0	0	0	0	0	1	0	0	0	by genus	
Artiodactyla	Suidae	Chleuastochoerus	stehlini	1	1	0	0	0	0	0	0	1	0	0	0	picture	
Artiodactyla	Suidae	Conohyus	simorrensis	1	1	0	0	0	0	0	0	1	0	0	1	\N	
Artiodactyla	Suidae	Hippohyus	tatroti	1	1	0	0	0	0	0	0	1	0	0	0	picture	
Artiodactyla	Suidae	Hippopotamodon	haydeni	1	1	0	0	0	0	0	0	1	0	0	1	\N	
Artiodactyla	Suidae	Hippopotamodon	indet.	1	1	0	0	0	0	0	0	1	0	0	1	by genus NOW	
Artiodactyla	Suidae	Hippopotamodon	major	1	1	0	0	0	0	0	0	1	0	0	1	species photo	
Artiodactyla	Suidae	Hippopotamodon	sivalense	1	1	0	0	0	0	0	0	1	0	0	1	NOW	
Artiodactyla	Suidae	Hyotherium	indet.	1	1	0	0	0	0	0	0	1	0	0	0		
Artiodactyla	Suidae	Hyotherium	youngi	1	1	0	0	0	0	0	0	1	0	0	0	\N	
Artiodactyla	Suidae	indet.	indet.	1	1	0	0	0	0	0	0	1	0	0	0	?	
Artiodactyla	Suidae	Kubanochoerus	gigas	1	1	0	0	0	0	0	0	1	0	0	1	\N	
Artiodactyla	Suidae	Kubanochoerus	indet.	1	1	0	0	0	0	0	0	1	0	0	1	?	
Artiodactyla	Suidae	Kubanochoerus	minheensis	1	1	0	0	0	0	0	0	1	0	0	1	\N	
Artiodactyla	Suidae	Listriodon	dukkar 	1	0	1	0	0	0	0	0	1	0	2	0		
Artiodactyla	Suidae	Listriodon	indet.	1	0	1	0	0	0	0	0	1	0	2	0		
Artiodactyla	Suidae	Listriodon	pentapotamiae	1	0	1	0	0	0	0	0	1	0	2	0	\N	
Artiodactyla	Suidae	Listriodon	splendens	1	0	1	0	0	0	0	0	1	0	2	0	\N	
Artiodactyla	Suidae	Parachleuastochoerus	steinheimensis	1	1	0	0	0	0	0	0	1	0	0	0	photo	
Artiodactyla	Suidae	Potamochoerus	indet.	1	1	0	0	0	0	0	0	1	0	0	0	photo	
Artiodactyla	Suidae	Propotamochoerus	hyotheriodes	1	1	0	0	0	0	0	0	1	0	0	0	photo	
Artiodactyla	Suidae	Propotamochoerus	hysudricus	1	1	0	0	0	0	0	0	1	0	0	0	by genus Uppsala	
Artiodactyla	Suidae	Propotamochoerus	indet.	1	1	0	0	0	0	0	0	1	0	0	0	by genus Uppsala	
