LIDNUM,NAME,LAT,LONG,MAX_AGE,MIN_AGE,NOTES,NB_SPCS,LIST_SPCS
20978,Minhe-lierbao,36.6,102.8,12.5,11.2,,8,Artiodactyla Bovidae Oioceros noverca;Artiodactyla Bovidae Sinopalaeoceros xiejiaensis;Artiodactyla Cervidae Stephanocemas chinghaiensis;Artiodactyla Moschidae Micromeryx indet.;Artiodactyla Suidae Kubanochoerus minheensis;Perissodactyla Rhinocerotidae Elasmotherium indet.;Proboscidea Gomphotheriidae Gomphotherium connexum;Proboscidea Gomphotheriidae Gomphotherium wimani
20985,Minhe-nanhawangou,36.3,102.9,12.5,11.2,,4,Artiodactyla Bovidae Oioceros noverca;Artiodactyla Moschidae Micromeryx indet.;Artiodactyla Suidae Kubanochoerus minheensis;Proboscidea Gomphotheriidae Gomphotherium wimani
29040,Palasava,23.438333333333333,70.99027777777778,14.895,13.09,,10,Artiodactyla Anthracotheriidae Sivameryx palaeindicus;Artiodactyla Bovidae indet. indet.;Artiodactyla Suidae Sanitherium schlagintweiti;Artiodactyla Suidae indet. indet.;Artiodactyla Tragulidae indet. indet.;Artiodactyla indet. indet. indet.;Perissodactyla Rhinocerotidae Brachypotherium perimense;Proboscidea Deinotheriidae Deinotherium sindiense;Proboscidea Gomphotheriidae Gomphotherium indet.;Proboscidea Mammutidae Zygolophodon indet.
26502,Qaidam-Olongbuluk,37.166666666666664,96.33333333333333,14.07,12.474,,5,Artiodactyla Cervidae Dicrocerus indet.;Artiodactyla Cervidae Lagomeryx tsaidamensis;Artiodactyla Cervidae Stephanocemas indet.;Perissodactyla Rhinocerotidae Acerorhinus tsaidamensis;Perissodactyla Rhinocerotidae Hispanotherium matritense
29064,Qaidam_naoge,36.86666666666667,97.33333333333333,14.07,11.056,,5,Artiodactyla Cervidae Lagomeryx indet.;Artiodactyla Cervidae Stephanocemas indet.;Artiodactyla Cervidae indet. indet.;Perissodactyla Rhinocerotidae Chilotherium indet.;Perissodactyla Rhinocerotidae Hispanotherium matritense
26570,Ramangar,33.6916666666667,76.9333333333333,13.82,11.63,,27,Artiodactyla Anthracotheriidae Anthracotherium punjabiense;Artiodactyla Anthracotheriidae Hemimeryx pusillus;Artiodactyla Bovidae Helicoportax praecox;Artiodactyla Bovidae Helicoportax tragelaphoides;Artiodactyla Bovidae Kubanotragus sokolovi;Artiodactyla Bovidae Miotragocerus indet.;Artiodactyla Bovidae Protragocerus gluten;Artiodactyla Giraffidae Giraffa priscilla;Artiodactyla Giraffidae Giraffokeryx punjabiensis;Artiodactyla Giraffidae Progiraffa indet.;Artiodactyla Suidae Hippopotamodon haydeni;Artiodactyla Suidae Listriodon pentapotamiae;Artiodactyla Suidae Sivachoerus indicus;Artiodactyla Suidae Sivachoerus sindiensis;Artiodactyla Tragulidae Dorcabune anthracotherioides;Artiodactyla Tragulidae Dorcatherium minus;Perissodactyla Chalicotheriidae Chalicotherium indet.;Perissodactyla Rhinocerotidae Brachypotherium perimense;Perissodactyla Rhinocerotidae Chilotheridium indet.;Perissodactyla Rhinocerotidae Gaindatherium browni;Primates Adapidae Sivaladapis palaeindicus;Primates Hominidae Sivapithecus indicus;Primates Hominidae Sivapithecus simonsi;Primates Hominidae Sivapithecus sivalensis;Proboscidea Deinotheriidae Prodeinotherium sp.;Proboscidea Gomphotheriidae Gomphotherium indet.;Proboscidea Gomphotheriidae Tetralophodon indet.
24220,Tairum Nor,43.4147,113.1183,14.2,12.85,,5,Artiodactyla Cervidae Dicrocerus sp.;Artiodactyla Cervidae Stephanocemas sp.;Perissodactyla Rhinocerotidae Acerorhinus zernowi;Perissodactyla Rhinocerotidae Hispanotherium matritense;Proboscidea Gomphotheriidae Platybelodon grangeri
23195,Tha Chang 1,15,102.333,12.85,11.2,,4,Perissodactyla Rhinocerotidae Brachypotherium indet.;Proboscidea Deinotheriidae Prodeinotherium indet.;Proboscidea Gomphotheriidae Gomphotherium indet.;Proboscidea Gomphotheriidae Protanancus chinjiensis
29177,Thanbinkan,21.966666666666665,95.36666666666666,14.2,11.2,,6,Artiodactyla Anthracotheriidae Microbunodon silistrense;Artiodactyla Anthracotheriidae indet. indet.;Artiodactyla Suidae Tetraconodon thailandicus;Perissodactyla Rhinocerotidae Brachypotherium perimense;Proboscidea Deinotheriidae Prodeinotherium indet.;Proboscidea Gomphotheriidae Choerolophodon corrugatus
20624,Tongxin,36.984,105.907,14.2,12.85,,6,Artiodactyla Bovidae Hypsodontus indet.;Artiodactyla Suidae Kubanochoerus gigas;Perissodactyla Chalicotheriidae Ancylotherium indet.;Perissodactyla Rhinocerotidae Procoelodonta mongoliense;Primates Pliopithecidae Pliopithecus indet.;Proboscidea Gomphotheriidae Platybelodon danovi
24531,Tongxin-dingjiaergou,37,106,15.2,12.5,,8,Artiodactyla Bovidae Eotragus halamagaiensis;Artiodactyla Cervidae Stephanocemas thomsoni;Artiodactyla Moschidae Moschus indet.;Artiodactyla Suidae Bunolistriodon intermedius;Artiodactyla Suidae Kubanochoerus gigas;Perissodactyla Chalicotheriidae Chalicotherium indet.;Perissodactyla Rhinocerotidae Hispanotherium matritense;Proboscidea Gomphotheriidae Platybelodon danovi
24532,Tongxin-gujiazhuang,37,106,15.2,12.5,,3,Artiodactyla Suidae Bunolistriodon intermedius;Proboscidea Gomphotheriidae Platybelodon danovi;Proboscidea Mammutidae Miomastodon tongxinensis
24534,Tongxin-maerzuizigou,37,106,15.2,12.5,taxonomy only genus level,4,Artiodactyla Suidae Bunolistriodon intermedius;Artiodactyla Suidae Kubanochoerus gigas;Primates Pliopithecidae Pliopithecus indet.;Proboscidea Gomphotheriidae Platybelodon danovi
24535,Tongxin-shataigou,37,106,15.2,12.5,,3,Artiodactyla Suidae Bunolistriodon intermedius;Artiodactyla Suidae Kubanochoerus gigas;Proboscidea Gomphotheriidae Platybelodon danovi
